rank,asset,weight,1d_weight,4h_weight,1h_weight,15m_weight,1m_weight
1,BTC,0.05000000000000001,0.05,0.05,0.05,0.05,0.05
2,LAB,0.04000000000000001,0,0.05,0.05,0.05,0.05
3,ESPORTS,0.03637067869553461,0,0.04849770159623237,0.05,0.05,0.03335569188144067
4,AKE,0.030331596644293073,0,0.0016579832214653246,0.05,0.05,0.05
5,XMR,0.02411822096272561,0.05,0.03187846805643455,0.0228827268301049,0,0.015829909927088597
6,BANK,0.02058339733964607,0,0.0004651887982393141,0.0024517978999910334,0.05,0.05
7,H,0.01984560473901636,0.05,0.0425930654648388,0.006634958230242991,0,0
8,BEAT,0.019844645735439453,0,0.05,0.02075582530236291,0.01463297299442075,0.013834430380413591
9,B,0.018144009087904953,0.012271543224947192,0.004453494141545635,0.024181355081529545,0.043427741102151994,0.0063859118893504025
10,EVAA,0.017443782859209236,0,0.009642802156935715,0.05,0.015979907254951548,0.0115962048841589
11,VELVET,0.01713027507357564,0.007782740211732473,0.041333526751332485,0.02807463974703951,0.00846046865777373,0
12,ON,0.01448833270573261,0,0.0013957795449084775,0.0023487696914631434,0.02132725484492496,0.04736985944736647
13,MYX,0.013455705529037387,0.04740361317200783,0.00809060572729437,0.005326505399137948,0.004134599468415198,0.002323203878331579
14,ZHIPU,0.013044242837289484,0,0,0,0.05,0.015221214186447405
15,DEXE,0.012989227704445857,0.003488402314313822,0.004387573782327081,0.02218266954012031,0.020820694417864306,0.014066798467603756
16,UB,0.011804306061859716,0,0.02496795272648942,0,0.01786294561562925,0.016190631967179903
17,ARX,0.011202092489910989,0,0,0.04421570645000361,0.0057415154085406536,0.006053240591010675
18,PIPPIN,0.010898507104513634,0.05,0,0.004492535522568156,0,0
19,B2,0.010715061438705323,0.005442608290764599,0.0012535392688211263,0.0009133186532567871,0.000529681380864698,0.045436159599819406
20,OPN,0.010082687410070732,0,0,0.015009780253513681,0.027192501823963513,0.008211154972876467
21,BZ,0.010000000000000002,0,0,0,0,0.05
22,CL,0.010000000000000002,0,0.05,0,0,0
23,HYPE,0.010000000000000002,0.05,0,0,0,0
24,PAXG,0.010000000000000002,0.05,0,0,0,0
25,XAG,0.010000000000000002,0,0,0,0,0.05
26,ZEC,0.010000000000000002,0.05,0,0,0,0
27,BILL,0.009974503156587735,0,0.012406660853746993,0.02381426544809248,0.00907465310431306,0.00457693637678613
28,RE,0.009741421869793286,0,0,0,0.048707109348966424,0
29,BROCCOLIF3B,0.009698252420872983,0.002745469267036246,0,0.0006887362628476851,0.000468329188714559,0.04458872738576642
30,SKYAI,0.009688511084641895,0.011154870195445988,0.02991949634725226,0.007368188880511223,0,0
31,LIT,0.009264200119306575,0,0.04632100059653287,0,0,0
32,BSB,0.00903693338972174,0,0.02484135911749875,0,0.004920722617592788,0.015422585213517158
33,VVV,0.00900720382688687,0.03254824889791107,0,0,0.012487770236523282,0
34,NATGAS,0.00892153775417603,0,0.018775456599417956,0,0.01565244764983203,0.01017978452163016
35,U,0.008429629278705275,0,0.014416070686729269,0.014845386388479485,0.012886689318317626,0
36,ANTHROPIC,0.008232305783721494,0,0,0.0016889724281312166,0.007711767794278642,0.03176078869619761
37,M,0.008027453900866972,0.029435184461001865,0.004090942286645562,0.0032143689714755987,0.0015948848321575965,0.0018018889530542355
38,EDGE,0.007869484974307148,0,0.011918365483482993,0.021007142616648097,0.0064219167714046526,0
39,WLD,0.0078414169656104,0,0.03920708482805199,0,0,0
40,US,0.007415969153568522,0,0.007781814211519661,0.02929803155632295,0,0
41,SLX,0.006728664136344944,0,0,0.02146765377536946,0.01217566690635526,0
42,BLESS,0.006647143350687158,0,0.003954285581650411,0.003811764678326382,0.007022029021888351,0.01844763747157064
43,JELLYJELLY,0.006329707870115951,0.01940841225613616,0.0030059673077366977,0.0016135268644652677,0.0036247836729876148,0.0039958492492540125
44,SIREN,0.0062958452523571365,0.01688465333554852,0.014594572926237158,0,0,0
45,CLO,0.005957120660171917,0,0.02058033131003568,0.009205271990823905,0,0
46,GWEI,0.005691850069176259,0,0.011302603698316241,0.012612605838944252,0.004544040808620804,0
47,TRIA,0.005666717028852427,0,0.0037588447278353292,0.013569021566020193,0.004252812264625157,0.006752906585781453
48,ARC,0.00549219977366785,0.023603210930070326,0.0021797401720368924,0.0016780477662320294,0,0
49,AVAAI,0.005492082192929005,0,0.0010504563187999562,0.0034389486737546365,0.022971005972090428,0
50,BULLA,0.005442784275888268,0.006811371705133954,0.0023051760380687486,0.00267743119949122,0.012064841650077573,0.003355100786669841
51,ZEREBRO,0.005255390819587532,0.012045034949112481,0.0036860944311799524,0.0019216673206962605,0.008624157396948964,0
52,TRX,0.00505030945332023,0,0,0,0.017856170387681777,0.007395376878919369
53,MAGMA,0.004936241143866442,0,0.010329381910382126,0.01183318514376534,0.0025186386651847494,0
54,TAG,0.004804756522323558,0.00675091039385737,0.002672043591917002,0.009697137210386819,0.004903691415456597,0
55,ZAMA,0.004794652908531668,0,0.0026327158864555946,0.0020323377582383835,0.005924109263912428,0.013384101634051931
56,ALLO,0.004728165687322182,0,0.009253206744657391,0.006749730402422739,0.004651257901630457,0.002986633387900321
57,MERL,0.0045517854727827566,0.022758927363913783,0,0,0,0
58,AIA,0.004520470742743773,0,0.0031699901465928352,0.0015377496904907398,0.0012955883749156583,0.016599025501719628
59,BASED,0.00439873322581846,0,0,0.01383149342888152,0.008162172700210775,0
60,BTW,0.004302632035632016,0,0,0.007048586540898584,0.007189269679047556,0.007275303958213939
61,UAI,0.0042994461299802585,0,0.004061211256347974,0.005872175913575473,0,0.011563843479977845
62,SHAZ,0.004269122143012259,0,0,0,0,0.021345610715061296
63,ZORA,0.004190811965513791,0.016992751302378595,0.0021516439208162288,0,0.0018096646043741314,0
64,SYN,0.004004136961830464,0.0014158095377195695,0.005664389946852213,0.007191692212644669,0.003827975316908876,0.0019208177950269913
